min_races,qualified_drivers,top_driver,top_rating,rating_std
10,76,Max Verstappen,0.6190233267094732,0.22887503896437392
20,68,Max Verstappen,0.6190233267094732,0.22928568522720535
30,58,Max Verstappen,0.6190233267094732,0.21539421368503722
50,40,Max Verstappen,0.6190233267094732,0.2123496818941209
75,28,Max Verstappen,0.6190233267094732,0.2260998118501894
100,24,Max Verstappen,0.6190233267094732,0.21534817882323434
150,19,Max Verstappen,0.6190233267094732,0.21198960303642161
