driver_id,teammate_driver_rating,driver_name,races,seasons,constructors,avg_finish,avg_teammate_finish,teammate_win_rate,avg_finish_gap,avg_target,qualifying_win_rate,avg_points,avg_points_gap,avg_car_score,reliability,overall_rank,qualified_rank
button,0.06864546183778253,Jenson Button,137,8,1,9.394160583941606,9.963503649635037,0.5474452554744526,0.5693430656934306,0.07169287006397485,0.3722627737226277,6.627737226277373,0.5912408759124088,69.39356812371001,Medium,31,25
bruno_senna,0.05268761536372302,Bruno Senna,46,3,3,15.695652173913043,15.891304347826088,0.4782608695652174,0.1956521739130435,0.023801305276231553,0.5,0.717391304347826,-0.3695652173913043,47.6583745351507,Moderate,32,26
raikkonen,0.04989315865041155,Kimi Räikkönen,195,10,3,8.76923076923077,8.953846153846154,0.48205128205128206,0.18461538461538463,-0.005084820747594488,0.40512820512820513,6.635897435897436,-1.1538461538461537,73.61089846678263,High,33,27
grosjean,0.04928969798073202,Romain Grosjean,174,9,2,13.011494252873563,12.327586206896552,0.46551724137931033,-0.6839080459770115,-0.07828991501302335,0.5689655172413793,2.2471264367816093,-0.6551724137931034,59.685747154008844,High,34,28
ricciardo,0.04684823055556886,Daniel Ricciardo,257,14,7,10.206225680933851,10.32295719844358,0.4980544747081712,0.11673151750972763,0.0008206352667116454,0.5252918287937743,5.136186770428016,-0.0311284046692607,67.61250851198511,High,35,29
nasr,0.041406013725425406,Felipe Nasr,40,2,1,14.15,14.5,0.475,0.35,0.01615394247405185,0.475,0.725,0.5,54.20877946563098,Moderate,36,30
ericsson,0.038641696809674664,Marcus Ericsson,97,5,2,14.958762886597938,14.505154639175258,0.4639175257731959,-0.4536082474226804,-0.07267032666322389,0.4020618556701031,0.18556701030927836,-0.5670103092783505,51.08827370005869,Medium,37,31
ocon,0.02767148101784067,Esteban Ocon,180,9,5,11.394444444444444,10.855555555555556,0.48333333333333334,-0.5388888888888889,-0.0627680335754378,0.4388888888888889,2.6333333333333333,-0.5333333333333333,65.05809806645068,High,40,32
resta,0.027289145868632958,Paul di Resta,59,4,2,11.847457627118644,11.830508474576272,0.4745762711864407,-0.01694915254237288,-0.025400446477153595,0.5254237288135594,2.0508474576271185,-0.22033898305084745,62.53297876238775,Moderate,41,33
kevin_magnussen,0.021044873538832,Kevin Magnussen,186,10,3,13.56989247311828,13.311827956989248,0.42473118279569894,-0.25806451612903225,-0.08163289664912972,0.4731182795698925,1.053763440860215,-0.3225806451612903,59.35428352004715,High,42,34
zhou,-0.009159086051132359,Guanyu Zhou,68,3,2,14.647058823529411,14.014705882352942,0.38235294117647056,-0.6323529411764706,-0.14998226002287018,0.27941176470588236,0.23529411764705882,-0.6029411764705882,57.170964277797204,Moderate,43,35
