driver_id,teammate_driver_rating,driver_name,races,seasons,constructors,avg_finish,avg_teammate_finish,teammate_win_rate,avg_finish_gap,avg_target,qualifying_win_rate,avg_points,avg_points_gap,avg_car_score,reliability,overall_rank
ricciardo,0.04684823055556886,Daniel Ricciardo,257,14,7,10.206225680933851,10.32295719844358,0.4980544747081712,0.11673151750972763,0.0008206352667116454,0.5252918287937743,5.136186770428016,-0.0311284046692607,67.61250851198511,High,35
nasr,0.041406013725425406,Felipe Nasr,40,2,1,14.15,14.5,0.475,0.35,0.01615394247405185,0.475,0.725,0.5,54.20877946563098,Moderate,36
ericsson,0.038641696809674664,Marcus Ericsson,97,5,2,14.958762886597938,14.505154639175258,0.4639175257731959,-0.4536082474226804,-0.07267032666322389,0.4020618556701031,0.18556701030927836,-0.5670103092783505,51.08827370005869,Medium,37
colapinto,0.03832873504089296,Franco Colapinto,27,2,2,15.222222222222221,14.814814814814815,0.4444444444444444,-0.4074074074074074,-0.07627793599380685,0.2222222222222222,0.18518518518518517,-0.6296296296296297,59.31582132043192,Low,38
heidfeld,0.03771855193010187,Nick Heidfeld,16,2,2,12.375,11.3125,0.5,-1.0625,-0.09815363769412624,0.25,2.5,-0.1875,63.71003287344062,Low,39
ocon,0.02767148101784067,Esteban Ocon,180,9,5,11.394444444444444,10.855555555555556,0.48333333333333334,-0.5388888888888889,-0.0627680335754378,0.4388888888888889,2.6333333333333333,-0.5333333333333333,65.05809806645068,High,40
resta,0.027289145868632958,Paul di Resta,59,4,2,11.847457627118644,11.830508474576272,0.4745762711864407,-0.01694915254237288,-0.025400446477153595,0.5254237288135594,2.0508474576271185,-0.22033898305084745,62.53297876238775,Moderate,41
kevin_magnussen,0.021044873538832,Kevin Magnussen,186,10,3,13.56989247311828,13.311827956989248,0.42473118279569894,-0.25806451612903225,-0.08163289664912972,0.4731182795698925,1.053763440860215,-0.3225806451612903,59.35428352004715,High,42
zhou,-0.009159086051132359,Guanyu Zhou,68,3,2,14.647058823529411,14.014705882352942,0.38235294117647056,-0.6323529411764706,-0.14998226002287018,0.27941176470588236,0.23529411764705882,-0.6029411764705882,57.170964277797204,Moderate,43
bottas,-0.010589835395823366,Valtteri Bottas,247,12,4,8.96761133603239,8.65587044534413,0.4331983805668016,-0.3117408906882591,-0.08354407466927138,0.5425101214574899,7.238866396761134,-1.8481781376518218,74.99626517083398,High,44
garde,-0.011494797713501148,Giedo van der Garde,19,1,1,18.05263157894737,17.736842105263158,0.3684210526315789,-0.3157894736842105,-0.12752246559452676,0.5263157894736842,0.0,0.0,47.64346364303415,Low,45
ambrosio,-0.028470417212533183,Jérôme d'Ambrosio,20,2,2,18.3,18.5,0.45,0.2,-0.012562349426354013,0.2,0.0,-0.5,44.00277891430738,Low,46
mazepin,-0.057166360182777876,Nikita Mazepin,22,1,1,17.863636363636363,16.90909090909091,0.2727272727272727,-0.9545454545454546,-0.2661560893644234,0.13636363636363635,0.0,0.0,49.75456711237973,Low,47
gutierrez,-0.06193084995581011,Esteban Gutiérrez,59,3,2,15.067796610169491,13.847457627118644,0.4745762711864407,-1.2203389830508475,-0.1470824380011067,0.288135593220339,0.1016949152542373,-1.2542372881355932,54.14376463392156,Moderate,48
perez,-0.06213174873869287,Sergio Pérez,283,14,5,9.332155477031803,8.530035335689046,0.4098939929328622,-0.8021201413427562,-0.13719272983387365,0.42402826855123676,5.6007067137809186,-2.7367491166077738,72.64958238277275,High,49
bortoleto,-0.0663328003464645,Gabriel Bortoleto,24,1,1,14.25,12.791666666666666,0.4583333333333333,-1.4583333333333333,-0.1787320034261781,0.5,0.7916666666666666,-1.3333333333333333,60.10588769650377,Low,50
giovinazzi,-0.07325663746770439,Antonio Giovinazzi,62,4,2,13.85483870967742,12.774193548387096,0.3548387096774194,-1.0806451612903225,-0.22282755238978358,0.5,0.3387096774193548,-0.5806451612903226,61.35998901108257,Moderate,51
buemi,-0.07987954976968625,Sébastien Buemi,38,2,1,14.289473684210526,13.236842105263158,0.4473684210526316,-1.0526315789473684,-0.15196701358034057,0.6052631578947368,0.6052631578947368,-0.21052631578947367,54.59022599447167,Moderate,52
lawson,-0.08858615638416045,Liam Lawson,35,3,3,12.82857142857143,11.82857142857143,0.37142857142857144,-1.0,-0.1989640547728961,0.22857142857142856,1.2571428571428571,-1.2571428571428571,64.78672132649189,Moderate,53
vergne,-0.08873023181893203,Jean-Éric Vergne,58,3,1,13.982758620689655,13.086206896551724,0.46551724137931033,-0.896551724137931,-0.11697115154272827,0.3103448275862069,0.8793103448275862,0.22413793103448276,57.157156804118955,Moderate,54
latifi,-0.09339522633985553,Nicholas Latifi,61,3,1,15.852459016393443,14.327868852459016,0.26229508196721313,-1.5245901639344261,-0.33740319360656473,0.18032786885245902,0.14754098360655737,-0.21311475409836064,53.39791301725496,Moderate,55
stroll,-0.10013850770314148,Lance Stroll,191,9,3,12.528795811518325,10.93193717277487,0.38219895287958117,-1.5968586387434556,-0.24807526288013076,0.25654450261780104,1.649214659685864,-1.5549738219895288,63.444819975036104,High,56
kvyat,-0.113873916208872,Daniil Kvyat,112,6,3,12.223214285714286,10.928571428571429,0.41964285714285715,-1.2946428571428572,-0.1984685463694411,0.4017857142857143,1.8035714285714286,-1.4375,61.53061392381005,Medium,57
jolyon_palmer,-0.11586044226068992,Jolyon Palmer,37,2,1,15.27027027027027,13.756756756756756,0.40540540540540543,-1.5135135135135136,-0.22992714333790787,0.32432432432432434,0.24324324324324326,-0.8648648648648649,52.02599249043916,Moderate,58
sirotkin,-0.12172788757084219,Sergey Sirotkin,21,1,1,15.523809523809524,14.285714285714286,0.42857142857142855,-1.2380952380952381,-0.18888043965463033,0.5714285714285714,0.047619047619047616,-0.23809523809523808,55.346977132298285,Low,59
pic,-0.12310865412763017,Charles Pic,39,2,2,18.076923076923077,17.871794871794872,0.48717948717948717,-0.20512820512820512,-0.03198408599038417,0.358974358974359,0.0,0.0,46.34395631825669,Moderate,60
maldonado,-0.13139165918010065,Pastor Maldonado,96,5,2,15.010416666666666,13.572916666666666,0.40625,-1.4375,-0.22920964605734495,0.40625,0.7916666666666666,-0.22916666666666666,54.58338796891868,Medium,61
liuzzi,-0.1330241217937228,Vitantonio Liuzzi,36,2,2,17.47222222222222,15.63888888888889,0.4166666666666667,-1.8333333333333333,-0.24528842091621192,0.3888888888888889,0.5833333333333334,-0.7222222222222222,50.88230261775153,Moderate,62
grassi,-0.1396038899832971,Lucas di Grassi,19,1,1,19.31578947368421,18.789473684210527,0.42105263157894735,-0.5263157894736842,-0.11429893988257518,0.15789473684210525,0.0,0.0,28.276607002641192,Low,63
chilton,-0.15840076764979616,Max Chilton,34,2,1,17.58823529411765,17.11764705882353,0.3235294117647059,-0.47058823529411764,-0.17630898142965445,0.20588235294117646,0.0,-0.058823529411764705,49.86783104278335,Moderate,64
stevens,-0.15840538136624382,Will Stevens,19,2,2,16.63157894736842,15.736842105263158,0.42105263157894735,-0.8947368421052632,-0.1556267873327336,0.631578947368421,0.0,0.0,50.263679129488395,Low,65
piastri,-0.16073750573201862,Oscar Piastri,70,3,1,6.628571428571429,5.442857142857143,0.32857142857142857,-1.1857142857142857,-0.26581957582070026,0.3,10.4,-2.7714285714285714,84.0104685956113,Moderate,66
brendon_hartley,-0.19248524932516642,Brendon Hartley,25,2,1,15.04,12.84,0.36,-2.2,-0.34029217214010365,0.36,0.16,-1.04,51.38706343130766,Low,67
klien,-0.20332019045339944,Christian Klien,3,1,1,20.666666666666668,20.666666666666668,0.3333333333333333,0.0,-0.1166582220452762,0.6666666666666666,0.0,0.0,38.941670011722714,Low,68
petrov,-0.221132574945742,Vitaly Petrov,58,3,2,14.362068965517242,12.672413793103448,0.3793103448275862,-1.6896551724137931,-0.268212517066126,0.3620689655172414,1.103448275862069,-1.8620689655172413,57.357834595604416,Moderate,69
tsunoda,-0.2449537350232608,Yuki Tsunoda,114,5,3,13.324561403508772,10.736842105263158,0.35964912280701755,-2.587719298245614,-0.3727734894081647,0.40350877192982454,0.9473684210526315,-3.5350877192982457,65.41501115184893,Medium,70
karthikeyan,-0.2463287900870046,Narain Karthikeyan,27,2,1,20.666666666666668,19.74074074074074,0.25925925925925924,-0.9259259259259259,-0.27237260400627333,0.14814814814814814,0.0,0.0,39.34523094742354,Low,71
yamamoto,-0.2656130749250487,Sakon Yamamoto,7,1,1,18.714285714285715,18.428571428571427,0.2857142857142857,-0.2857142857142857,-0.1820393100399678,0.14285714285714285,0.0,0.0,31.893321575873593,Low,72
haryanto,-0.271357082582134,Rio Haryanto,12,1,1,18.666666666666668,16.666666666666668,0.16666666666666666,-2.0,-0.457667615962841,0.3333333333333333,0.0,-0.08333333333333333,48.6834300077366,Low,73
michael_schumacher,-0.2835084760429393,Michael Schumacher,58,3,1,12.086206896551724,9.413793103448276,0.3793103448275862,-2.6724137931034484,-0.31076187724880144,0.25862068965517243,3.396551724137931,-2.189655172413793,69.13250790574394,Moderate,74
massa,-0.2993637451591362,Felipe Massa,155,8,2,9.251612903225807,7.038709677419355,0.3419354838709677,-2.2129032258064516,-0.33209347056203714,0.33548387096774196,5.464516129032258,-4.058064516129032,75.21974570034256,High,75
de_vries,-0.32303150505147626,Nyck de Vries,11,2,2,15.272727272727273,13.090909090909092,0.2727272727272727,-2.1818181818181817,-0.4038261266496914,0.36363636363636365,0.18181818181818182,0.0,59.79631631830944,Low,76
trulli,-0.33209551257960224,Jarno Trulli,37,2,1,18.675675675675677,17.243243243243242,0.32432432432432434,-1.4324324324324325,-0.2836480193076059,0.35135135135135137,0.0,0.0,37.3165188992295,Moderate,77
doohan,-0.3871852778549528,Jack Doohan,7,2,1,16.142857142857142,13.0,0.2857142857142857,-3.142857142857143,-0.5025409841432371,0.14285714285714285,0.0,-1.7142857142857142,62.076033326142735,Low,78
webber,-0.39505682508335893,Mark Webber,77,4,1,6.259740259740259,4.1688311688311686,0.23376623376623376,-2.090909090909091,-0.3844784545309688,0.24675324675324675,11.402597402597403,-5.818181818181818,86.81724768205085,Moderate,79
pietro_fittipaldi,-0.45528881111578234,Pietro Fittipaldi,2,1,1,18.0,16.5,0.0,-1.5,-0.518238045040045,0.5,0.0,0.0,48.85074250877173,Low,80
sargeant,-0.46648251300707677,Logan Sargeant,36,2,1,16.333333333333332,13.25,0.1388888888888889,-3.0833333333333335,-0.5955182159029837,0.05555555555555555,0.027777777777777776,-0.7777777777777778,56.46148499730521,Moderate,81
antonelli,-0.7249816744448933,Andrea Kimi Antonelli,24,1,1,9.833333333333334,4.541666666666667,0.125,-5.291666666666667,-0.8373808775246109,0.125,5.625,-6.416666666666667,80.7464867931725,Low,82
lotterer,-0.9532324140540557,André Lotterer,1,1,1,22.0,17.0,0.0,-5.0,-0.9108525958165501,1.0,0.0,0.0,33.29964432249828,Low,83
